Fecha,Hora,Animal,Probabilidad,RankLocal
2025-11-06,08:00,Ardilla,0.20041488111019135,1
2025-11-06,09:00,Pato,0.1273554414510727,1
2025-11-06,10:00,Aguila,0.2085372358560562,1
2025-11-06,11:00,Zorro,0.5048686861991882,1
2025-11-06,12:00,Cangrejo,0.0923931747674942,4
2025-11-06,13:00,Caiman,0.10161161422729492,2
2025-11-06,14:00,Venado,0.16557608544826508,1
2025-11-06,15:00,Leon,0.11925244331359863,1
2025-11-06,16:00,Guacamaya,0.09877235442399979,1
2025-11-06,17:00,Alacran,0.13713788986206055,2
2025-11-06,18:00,Pulpo,0.13056856393814087,2
2025-11-06,19:00,Tortuga,0.31644701957702637,1
