Fecha,Hora,Animal,Probabilidad,RankLocal
2025-11-06,08:00,Elefante,0.02582250810367267,2
2025-11-06,09:00,Ardilla,0.022503672431095908,1
2025-11-06,10:00,Puma,0.02179722762714674,1
2025-11-06,11:00,Aguila,0.020311430814453062,2
2025-11-06,12:00,Cebra,0.021104041330371377,1
2025-11-06,13:00,Zorro,0.019034964674378298,2
2025-11-06,14:00,Cachicamo,0.018027423798534687,4
2025-11-06,15:00,Caiman,0.018001374847912144,3
2025-11-06,16:00,Chivo,0.021168717841102636,2
2025-11-06,17:00,Venado,0.022491361311631746,1
2025-11-06,18:00,Tortuga,0.03313054542477207,1
2025-11-06,19:00,Pato,0.020377733030822808,3
